"cm_track","track","isrc","cm_artist","artist"
31888366,"FEEL SOMETHING (feat. Marshmello)","USSM12006584",1333786,"The Kid LAROI"
36103523,"BED - THAT KIND Remix","UK4ZF2100230",519774,"Joel Corry"
20398248,"Real Friends","USSM11806903",454302,"Camila Cabello"
43465688,"1 step forward, 3 steps back","USUG12101244",260477,"Olivia Rodrigo"
15621209,"Until You Were Gone - Skrux & Saturn Remix","USQX91503359",4796,"The Chainsmokers"
15920223,"Heavy Metal Lover","USUM71106454",3188,"Lady Gaga"
29990823,"Love To Go - Deluxe Extended Mix","NLF712007198",5058,"Lost Frequencies"
55345032,"EveryTime I Cry (Sigala Remix)","USAT22103644",717113,"Ava Max"
21451426,"No Woman No Cry (Edit)","DED167600011",735,"Boney M."
16028877,"Don't You Worry 'Bout Me","USWB11506522",4170,"Lukas Graham"
16596808,"Bad Day All Week - Adrian Bahil Remix","DES231500044",3176,"Sam Smith"
30206322,"Surgery","USAT22004509",1341576,"NoCap"
17417570,"Burning","GBUM71703746",3176,"Sam Smith"
15677545,"Slave to the Dollar","USRC11502222",3450,"R. City"
13571676,"Reality - Klardust Remix","NLF711505652",5058,"Lost Frequencies"
20520034,"To Be Free (Live from Dauphin Rd, Vineland, NJ)","GBMQN1800092",4457,"Passenger"
18667224,"Lights On","USAT21303376",1207,"Sean Paul"
24395871,"Love and Other Bruises (Live)","QMLQL1800008",63,"Air Supply"
12489177,"Upside Down - DC Breaks Remix","GBARL1000188",3421,"Paloma Faith"
26231566,"Sign of the Times - Acoustic Cover","PLS921748750",558681,"Harry Styles"
73671793,"One Time","GBARL2101667",3757367,"Bad Boy Chiller Crew"
19967487,"Havana - Acoustic Cover","PLS921640778",454302,"Camila Cabello"
68795666,"Socadona (feat. Mariah Angeliq e Mr. Vegas) [Funk Remix]","BRWMB2101256",5011,"LUDMILLA"
81685571,"Good Boy Gone Bad","USA2P2146796",1414812,"TOMORROW X TOGETHER"
82984741,"piccolo","GBKPL2296988",558374,"bbno$"
14098059,"Little Bit","SEVUM0700701",3060,"Lykke Li"
79425246,"abcdefu","USAT22203082",3540881,"GAYLE"
21493685,"Teach You","FR6V80249090",3754,"French Montana"
15936292,"Toothbrush","USUM71516725",5332,"DNCE"
19092235,"My Way","USAT21801853",717113,"Ava Max"
15929041,"Snow In California","USUM71318530",3963,"Ariana Grande"
16782540,"Heavy","GBAHS1700748",5256,"Anne-Marie"
15447533,"Mona Lisa - 2009 Remaster","USJI10900673",199,"Britney Spears"
22775750,"Young, Wild & Free (Originally Performed By Snoop Dogg, Wiz Khalifa) [Karaoke Version]","USA561254135",3501,"Bruno Mars"
15791320,"Love In The Future (Intro)","USSM11303940",2053,"John Legend"
27433806,"Flies","USAT21906666",1341576,"NoCap"
31227191,"Head & Heart (feat. MNEK) - Vintage Culture & Fancy Inc Remix","UK4ZF2000422",519774,"Joel Corry"
28736815,"Red Light Green Light","USWB11902577",5699,"THEY."
12814014,"Perfect","GBHMU1500104",3747,"One Direction"
13831591,"Luv It","QMACD1300064",210712,"Lizzo"
12813651,"You're Nobody 'Til Somebody Loves You - Raf Riley Remix","GBHMU1300190",4361,"James Arthur"
16114481,"Rani Medeh","VGA011013894",27,"Madonna"
49881480,"I Think I'm Crazy","AEA0Q1888892",4397,"Melanie Martinez"
32559358,"Unfuckwitable","USRC12003405",207124,"ZAYN"
12813566,"Irresistible","GBHMU1200405",3747,"One Direction"
28191270,"9と4分の3番線で君を待つ (Run Away) - Japanese Ver.","JPPO01904932",1414812,"TOMORROW X TOGETHER"
15048613,"Eventually","USAR10100723",672,"P!nk"
26950231,"on god","QM24S1926323",558374,"bbno$"
15049383,"Oh My God (feat. Peaches)","USAR10301099",672,"P!nk"
48721677,"Make You Feel My Love","ZAC011100006",481267,"Audiogroove"
69878031,"Locked Out of Heaven","USAT21204492",3501,"Bruno Mars"
33805669,"MONTERO (Call Me By Your Name) - SATAN'S EXTENDED VERSION","USSM12101203",1366172,"Lil Nas X"
73318266,"Do We Have A Problem?","USUM72201403",3442,"Nicki Minaj"
15939707,"Rhythm Inside - Toby Green Remix","USUM71616081",5521,"Calum Scott"
16610757,"Miedo","USHM81702456",644506,"Carolina Gaitán - La Gaita"
23598614,"Run To Me - Live At The MGM Grand","GBAKW9900052",251,"Bee Gees"
15917266,"Despicable Me","USUM71015767",2143,"Pharrell Williams"
11127893,"Blá Blá Blá - Extended Remix","BRWMB1400209",4520,"Anitta"
15900123,"Right Now","USUM70503130",2081,"The Pussycat Dolls"
22008117,"Boy in the Bubble","USAT21811725",405139,"Alec Benjamin"
16828807,"Un Fin en Culiacán","TCACR1624328",207633,"La Adictiva Banda San José de Mesillas"
15091201,"i hate u, i love u (feat. olivia o'brien)","USAT21600124",5594,"Garrett Nash"
26920270,"Gooey - Domenico Torti Remix","GB2DY1500030",3656,"Glass Animals"
28299696,"Still In The Hood","QMGR32060673",1424691,"Julianno Sosa"
15925893,"Gangnam Style (강남스타일) - Diplo Remix (Explicit Version)","USUM71301900",3301,"PSY"
18945443,"Don't Let The Sun Go Down On Me","USRC11800463",2619,"Miley Cyrus"
18903575,"Lady","KRA341211852",3301,"PSY"
22037998,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","GBARL1801571",1759,"Mark Ronson"
28008329,"I Wanna Dance With Somebody - Who Loves Me","BRE8T1001418",247,"Whitney Houston"
64188522,"CRIPSTIAN","USRC12102563",567931,"Maxo Kream"
21809966,"when the party's over","USUM71815958",5596,"Billie Eilish"
13445241,"Probablemente","MXUM71700839",40359,"Christian Nodal"
27992936,"Liar (Live)","USSM11914794",454302,"Camila Cabello"
31529694,"Space Ghost Coast To Coast - Stripped Back","GBUM72004666",3656,"Glass Animals"
28471007,"Oh My God","USAT22000211",405139,"Alec Benjamin"
12495511,"This Must Be Heaven","GBARL9100146",1054,"Rick Astley"
21809690,"King","QZES51823093",1359817,"Fireboy DML"
30360575,"SAME THING","USSM12004211",1333786,"The Kid LAROI"
78192483,"Playground","TCAGC2201016",562567,"Flipturn"
29592197,"Rover (feat. DTG) - Joel Corry Remix","GBAYE2000502",1092969,"S1mba"
15932904,"Life Of The Party","USUM71416903",4934,"Shawn Mendes"
29699060,"Chaleco Salvavidas - Track By Track Commentary","MXA411400028",207633,"La Adictiva Banda San José de Mesillas"
60907274,"Cant Help Falling in Love","USJ3V2086185",3176,"Sam Smith"
13962752,"Pigalle","QMZSY1600014",4310,"DJ Snake"
22398036,"in my head","USUM71900407",3963,"Ariana Grande"
20333274,"Dinero - Radio Edit","USSM11800467",177,"Jennifer Lopez"
11162738,"Destin","CAC229500008",43,"Céline Dion"
12487308,"And I Love You So","GBARL0500702",1054,"Rick Astley"
38494179,"Gahdamn","QMEZE2045109",1787087,"Hitkidd"
15937790,"I Don't Care","USUM71603413",3963,"Ariana Grande"
15910413,"Sexify My Love","USUM70828894",209987,"New Kids On The Block"
58795813,"Twice","GBAYE2101062",1092969,"S1mba"
30225503,"Joke's On You!","USAT22000468",430760,"Oliver Tree"
22126484,"The Scientist - Love In Tokyo Version","GBAYE1801037",439,"Coldplay"
12528602,"Every Teardrop Is A Waterfall - Single Version","GBAYE1100774",439,"Coldplay"
22084914,"A Sky Full of Stars (Live in Buenos Aires)","GBAYE1801107",439,"Coldplay"
60272624,"Si No Te Tengo - Commentary","US4D21400118",3928,"Farruko"
78190255,"good 4 u (FOREIGN MERCY Remix) [Mixed]","US23A1920620",260477,"Olivia Rodrigo"
28789087,"Affluenza","USUM71924262",562618,"Conan Gray"
24528542,"This Love - Karaoke Version","USCJY1531539",2762,"Taylor Swift"
12569342,"Hometown Glory","GBBKS0700588",3079,"Adele"
24691467,"Never Really Over - Wow & Flutter Remix","USUM71914664",2482,"Katy Perry"
16614170,"One Away","JMI031600002",2912,"Sean Kingston"
68044597,"It'll Be Okay","USUM72122321",4934,"Shawn Mendes"
19189953,"Don''t Cha Hate This When I Grow Up Medley - Dave Aude Mix","USUM70851418",2081,"The Pussycat Dolls"
52683758,"Para Tu Amor","QMBZ92124529",644506,"Carolina Gaitán - La Gaita"
20359394,"dear insecurity (feat. ben abraham)","USAT21810523",5594,"Garrett Nash"
