media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
10,2022-05-19 13:44:50.71739,Lizzo - About Damn Time [Official Video],About Damn Time,47,https://i.ytimg.com/vi/IXXxciRUMzE/default.jpg
18,2022-05-19 13:44:50.933247,Ed Sheeran - Bad Habits [Official Video],Bad Habits,50,https://i.ytimg.com/vi/orJSJGHjBLI/default.jpg
29,2022-05-19 13:44:51.405517,Ed Sheeran - Shivers [Official Video],Shivers,50,https://i.ytimg.com/vi/Il0S8BoucSA/default.jpg
34,2022-05-19 13:44:44.744168,Pitbull - Rain Over Me ft. Marc Anthony,Rain Over Me (feat. Marc Anthony),187,https://i.ytimg.com/vi/SmM0653YvXU/default.jpg
47,2022-05-19 12:32:12.456581,LE SSERAFIM FEARLESS OFFICIAL M/V,,,https://i.ytimg.com/vi/4vbDFu0PUew/default.jpg
49,2022-05-19 13:23:21.787946,Matheus & Kauan - Gatilho (Ao Vivo),Gatilho (Ao Vivo),,https://i.ytimg.com/vi/p0zuRoa2BH4/default.jpg
93,2022-05-19 12:19:26.741976,The Weeknd - Gasoline (Official Music Video),,181,https://i.ytimg.com/vi/iOa7uE23qc4/default.jpg
131,2022-05-19 13:23:22.666496,Johan Lenox — I'm A Mess (featuring Lancey Foux),,,https://i.ytimg.com/vi/Joj_gpxii3s/default.jpg
137,2022-05-19 12:32:13.271809,"O Antava Full Song | Pushpa Songs | Allu Arjun, Samantha | DSP | Sukumar | Indravathi Chauhan",,,https://i.ytimg.com/vi/EEqq0_Etuos/default.jpg
156,2022-05-19 13:23:22.391152,Luan Pereira ft. Pedro Paulo & Alex - Turbina (Oficial),,,https://i.ytimg.com/vi/DE-uKolENqw/default.jpg
158,2022-05-19 12:32:12.030034,Halli Naatu,,,https://i.ytimg.com/vi/OsU0CGZoV8E/mqdefault.jpg
208,2022-05-19 13:13:15.929825,Los Dos Amigos,Los Dos Amigos,252,https://i.ytimg.com/vi/e7JQ9NAKxKA/default.jpg
230,2022-05-19 13:44:52.983753,Rumour - Never Let Go,,,https://i.ytimg.com/vi/GGtwxnue-bc/default.jpg
242,2022-05-19 13:13:15.223944,Never Fold (feat. Sunny Malton),Never Fold (feat. Sunny Malton),72,https://i.ytimg.com/vi/-CJ3_0vyzNs/hqdefault.jpg
285,2022-05-19 13:23:21.905277,"LUDMILLA, Mariah Angeliq, Topo La Maskara - Socadona feat. Mr Vegas (Official Music Video)",Socadona (feat. Mr. Vegas),236,https://i.ytimg.com/vi/15wVHmz_Aag/default.jpg
321,2022-05-19 13:44:44.959537,Rachel Chinouriri - All I Ever Asked (Official Music Video),,,https://i.ytimg.com/vi/2QXSnc_9OuU/default.jpg
324,2022-05-19 12:19:26.202432,BoyWithUke - IDGAF ft. blackbear,IDGAF (feat. blackbear),,https://i.ytimg.com/vi/Q1QcLbkYFaM/default.jpg
361,2022-05-19 12:32:12.705207,#Video | मिठाई लेखा लागे | Ritesh Pandey | Shilpi Raj | Boliya Mithai Lekha Lage | New Bhojpuri Song,,,https://i.ytimg.com/vi/1jzKe5vXKUA/default.jpg
396,2022-05-19 13:23:22.948821,VOU FALAR QUE NÃO QUERO - Vitor Fernandes (DVD Piseiro Apaixonado),Vou Falar Que Não Quero,45,https://i.ytimg.com/vi/4WQS22-x6YY/default.jpg
405,2022-05-19 13:42:22.537941,Kevin Gates - Big Lyfe (Official Music Video),Big Lyfe,,https://i.ytimg.com/vi/noh6BYgtTxQ/default.jpg
426,2022-05-19 13:13:13.444116,Benson Boone -  In the Stars (Official Lyric Video),,,https://i.ytimg.com/vi/2n5GKLdrTfk/default.jpg
428,2022-05-19 13:42:22.392537,Anitta – Boys Don’t Cry [Official Music Video],Boys Don't Cry,51,https://i.ytimg.com/vi/PkzJgGZBFDg/default.jpg
441,2022-05-19 13:23:22.930242,Gusttavo Lima - Teste de Fármacia (Buteco in Boston),,189,https://i.ytimg.com/vi/notLoIbFhJM/default.jpg
442,2022-05-19 12:31:23.033902,Tireek - Work ft. sonia rose (Official Music Video),,,https://i.ytimg.com/vi/9iA-L5sxitQ/default.jpg
