playlist_id,media_item_id,ingest_timestamp,position
1,27,2022-05-19 12:31:21.883108,25
1,427,2022-05-19 12:31:22.634102,65
1,686,2022-05-19 12:31:22.40198,51
1,695,2022-05-19 12:31:23.20511,96
2,66,2022-05-19 13:44:54.004157,199
2,102,2022-05-19 13:44:53.654421,180
2,127,2022-05-19 13:44:51.140671,42
2,149,2022-05-19 13:44:51.717213,78
2,299,2022-05-19 13:44:52.953715,144
2,318,2022-05-19 13:44:51.888312,91
2,335,2022-05-19 13:44:50.488482,7
2,340,2022-05-19 13:44:53.570417,176
2,580,2022-05-19 13:44:52.163124,108
2,584,2022-05-19 13:44:51.450218,60
2,592,2022-05-19 13:44:51.547074,66
2,850,2022-05-19 13:44:51.378458,55
2,980,2022-05-19 13:44:53.36403,166
2,988,2022-05-19 13:44:53.071825,152
2,1014,2022-05-19 13:44:51.272221,49
3,752,2022-05-19 12:32:13.193848,84
3,848,2022-05-19 12:32:12.335286,49
3,853,2022-05-19 12:32:11.658001,24
3,883,2022-05-19 12:32:11.324687,13
4,28,2022-05-19 13:44:43.323028,103
4,60,2022-05-19 13:44:42.933271,82
4,63,2022-05-19 13:44:43.67098,123
4,101,2022-05-19 13:44:45.431701,229
4,145,2022-05-19 13:44:41.967096,38
4,286,2022-05-19 13:44:45.375147,226
4,303,2022-05-19 13:44:41.992717,40
4,347,2022-05-19 13:44:45.086699,210
4,397,2022-05-19 13:44:42.007106,41
4,454,2022-05-19 13:44:44.388951,167
4,491,2022-05-19 13:44:44.058684,145
4,514,2022-05-19 13:44:43.112598,90
4,545,2022-05-19 13:44:41.806115,27
4,664,2022-05-19 13:44:44.598411,180
4,668,2022-05-19 13:44:43.783433,129
4,799,2022-05-19 13:44:41.710568,21
4,905,2022-05-19 13:44:42.379657,57
4,947,2022-05-19 13:44:45.11518,211
5,214,2022-05-19 13:42:23.667487,90
5,221,2022-05-19 13:42:23.260531,64
5,795,2022-05-19 13:42:23.708072,93
5,946,2022-05-19 13:42:22.476574,19
6,3,2022-05-19 12:19:28.661192,124
6,6,2022-05-19 12:19:25.874596,9
6,73,2022-05-19 12:19:28.70395,126
6,185,2022-05-19 12:19:26.684995,43
6,210,2022-05-19 12:19:28.312657,109
6,329,2022-05-19 12:19:28.217827,105
6,724,2022-05-19 12:19:25.954795,12
6,807,2022-05-19 12:19:26.549991,38
7,76,2022-05-19 13:12:18.872376,9
7,356,2022-05-19 13:12:19.177286,20
7,614,2022-05-19 13:12:18.945562,12
7,678,2022-05-19 13:12:18.706086,1
8,108,2022-05-19 13:23:23.469343,141
8,125,2022-05-19 13:23:21.025522,19
8,159,2022-05-19 13:23:21.879505,58
8,251,2022-05-19 13:23:22.853925,107
8,343,2022-05-19 13:23:20.744285,5
8,504,2022-05-19 13:23:21.056562,20
8,533,2022-05-19 13:23:21.295122,32
8,663,2022-05-19 13:23:22.963775,113
8,887,2022-05-19 13:23:20.800549,8
8,888,2022-05-19 13:23:21.38333,36
8,1024,2022-05-19 13:23:22.503949,89
9,379,2022-05-19 12:19:21.157105,7
10,59,2022-05-19 13:13:15.384393,148
